Model,Precision,Recall,F1-Score,mAP@0.5,Params (M),FLOPs (G)
YOLOv12-P2-Improved (Ours),43.54%,34.67%,38.60%,34.51%,3.08,0.00
YOLOv9t,46.51%,33.32%,38.83%,33.76%,2.01,0.00
YOLOv11n,45.44%,33.56%,38.61%,33.70%,2.59,0.00
YOLOv10n,44.97%,33.43%,38.35%,33.47%,2.71,0.00
YOLOv8n,44.44%,33.09%,37.93%,33.40%,3.01,0.00
YOLOv12-Improved (BiFPN+CA+SIoU),41.02%,31.11%,35.38%,30.58%,2.94,0.00
YOLOv12n (Base),39.48%,28.88%,33.36%,28.29%,2.52,0.00
