Model,mAP@0.5,pedestrian,people,bicycle,car,van,truck,tricycle,awning-tricycle,bus,motor
YOLOv12n (Baseline),28.32%,29.31%,24.45%,5.25%,72.72%,33.94%,22.40%,17.42%,9.01%,37.52%,31.14%
YOLOv12-Improved (BiFPN+CA),30.55%,32.29%,25.09%,7.23%,73.98%,36.36%,25.04%,19.12%,10.83%,41.82%,33.77%
YOLOv12-P2-Improved (Final),34.56%,39.88%,33.91%,9.71%,77.95%,38.06%,23.97%,22.19%,12.74%,46.58%,40.60%
Improvement (Final vs Base),+6.24%,+10.57%,+9.46%,+4.46%,+5.23%,+4.12%,+1.57%,+4.77%,+3.73%,+9.06%,+9.46%
