Model,BiFPN,CA,P2,Params (M),FPS,mAP@0.5,Precision,Recall
Baseline,-,-,-,2.52,30.2,28.29%,39.48%,28.88%
+ BiFPN,✓,-,-,2.92,29.6,30.41%,41.80%,30.56%
+ CA,-,✓,-,2.53,29.5,29.23%,38.74%,30.08%
+ P2 (New),-,-,✓,2.68,28.2,32.41%,41.72%,33.12%
+ BiFPN + CA,✓,✓,-,2.94,27.7,30.01%,39.85%,30.76%
+ BiFPN + CA + P2 (Ours),✓,✓,✓,3.08,23.2,34.51%,43.54%,34.67%
