Model,mAP@0.5,mAP@0.5:0.95,AP_S (Small),AP_M (Medium),AP_L (Large)
YOLOv12n (Base),26.29%,14.77%,7.10%,23.43%,33.08%
YOLOv12n-UAV (Ours),31.52%,18.42%,10.93%,27.06%,34.67%
